station,valid,metar
SADM,2026-08-13 04:00,SADM 130400Z 14010KT 9999 OVC015 08/05 Q1023
SADM,2026-08-13 05:00,SADM 130500Z 14007KT 9999 OVC015 08/05 Q1023
SADM,2026-08-13 06:00,SADM 130600Z 14010KT 9999 OVC016 08/05 Q1023
SADM,2026-08-13 07:00,SADM 130700Z 14009KT 9999 OVC016 08/05 Q1023
SADM,2026-08-13 08:00,SADM 130800Z 14007KT 9999 OVC018 08/06 Q1023
SADM,2026-08-13 09:00,SADM 130900Z 14008KT 9999 OVC020 08/06 Q1023
SADM,2026-08-13 10:00,SADM 131000Z 14009KT 9999 OVC020 08/06 Q1023
SADM,2026-08-13 11:00,SADM 131100Z 14006KT 9999 OVC025 08/04 Q1025
SADM,2026-08-13 12:00,SADM 131200Z 16008KT 9999 OVC026 07/05 Q1026
SADM,2026-08-13 13:00,SADM 131300Z 16006KT 9999 OVC027 08/02 Q1026
SADM,2026-08-13 14:00,SADM 131400Z 14007KT 9999 BKN022 OVC100 09/04 Q1026
SADM,2026-08-13 15:00,SADM 131500Z 14008KT 9999 OVC020 09/05 Q1026
SADM,2026-08-13 16:00,SADM 131600Z 14009KT 9999 OVC021 10/05 Q1025
SADM,2026-08-13 17:00,SADM 131700Z 14008KT 9999 OVC024 10/05 Q1025
SADM,2026-08-13 18:00,SADM 131800Z 14008KT 9999 OVC023 10/05 Q1025
SADM,2026-08-13 19:00,SADM 131900Z 14006KT 9999 BKN022 OVC100 10/06 Q1025
SADM,2026-08-13 20:00,SADM 132000Z 14007KT 8000 FEW019 OVC100 10/06 Q1026
SADM,2026-08-13 21:00,SADM 132100Z 14007KT 5000 -RA BR FEW018 OVC100 10/06 Q1026
SADM,2026-08-13 21:18,SADM 132118Z 14004KT 3000 RA BR SCT030 OVC050 10/06 Q1026
SADM,2026-08-13 22:00,SADM 132200Z 14005KT 3000 -RA BR SCT037 OVC050 10/07 Q1026
SADM,2026-08-13 23:00,SADM 132300Z 14005KT 5000 BR FEW015 OVC100 10/07 Q1026
SADM,2026-08-14 00:00,SADM 140000Z 11005KT 5000 -RA BR FEW015 OVC100 10/07 Q1026
SADM,2026-08-14 01:00,SADM 140100Z 11005KT 8000 FEW015 OVC100 10/07 Q1026
SADM,2026-08-14 02:00,SADM 140200Z 09003KT 8000 FEW019 OVC100 10/08 Q1026
SADM,2026-08-14 03:00,SADM 140300Z 11002KT 8000 FEW018 OVC100 10/07 Q1026
SADM,2026-08-14 04:00,SADM 140400Z 11004KT 8000 NSC 10/07 Q1026
SADM,2026-08-14 05:00,SADM 140500Z 14006KT 8000 SCT035 OVC100 10/08 Q1025
SADM,2026-08-14 06:00,SADM 140600Z 09002KT 8000 BKN049 OVC100 10/08 Q1025
SADM,2026-08-14 07:00,SADM 140700Z 09002KT 4000 -DZ BR BKN010 OVC100 10/08 Q1025
SADM,2026-08-14 08:00,SADM 140800Z 05004KT 2500 -DZ BR BKN010 OVC100 10/08 Q1025
SADM,2026-08-14 09:00,SADM 140900Z 09004KT 4000 BR BKN010 OVC020 10/09 Q1025
SADM,2026-08-14 10:00,SADM 141000Z 07004KT 4000 BR BKN010 OVC028 11/08 Q1025
SADM,2026-08-14 11:00,SADM 141100Z 07006KT 4000 -DZ BKN008 OVC014 11/09 Q1025
SADM,2026-08-14 12:00,SADM 141200Z 07007KT 3000 -DZ OVC007 11/09 Q1025
SADM,2026-08-14 13:00,SADM 141300Z 07007KT 3000 -DZ OVC007 11/10 Q1025
SADM,2026-08-14 14:00,SADM 141400Z 07008KT 2000 DZ BR OVC008 11/10 Q1025
SADM,2026-08-14 15:00,SADM 141500Z 07007KT 3000 -DZ BR OVC008 12/10 Q1024
SADM,2026-08-14 16:00,SADM 141600Z 05006KT 2000 DZ BR OVC008 12/11 Q1024
SADM,2026-08-14 17:00,SADM 141700Z 05005KT 3000 -DZ BR OVC008 12/11 Q1023
SADM,2026-08-14 18:00,SADM 141800Z 07005KT 2000 -DZ BR OVC004 12/11 Q1022
SADM,2026-08-14 19:00,SADM 141900Z 07004KT 2000 -DZ BR BKN006 OVC012 12/12 Q1022
SADM,2026-08-14 20:00,SADM 142000Z 09005KT 2000 -DZ BR OVC004 12/11 Q1022
SADM,2026-08-14 21:00,SADM 142100Z 09005KT 2000 -DZ BR OVC008 12/11 Q1022
SADM,2026-08-14 22:00,SADM 142200Z 09006KT 4000 BR OVC006 12/12 Q1021
SADM,2026-08-14 23:00,SADM 142300Z 09004KT 9999 FEW007 SCT023 13/10 Q1022
SADM,2026-08-15 00:00,SADM 150000Z 07003KT 9999 OVC026 12/11 Q1022
SADM,2026-08-15 01:00,SADM 150100Z 09005KT 9999 SCT041 13/11 Q1021
SADM,2026-08-15 02:00,SADM 150200Z 09005KT 9999 OVC040 12/11 Q1021
SADM,2026-08-15 03:00,SADM 150300Z 09003KT 9999 BKN047 13/12 Q1021
SADM,2026-08-15 04:00,SADM 150400Z 09004KT 9999 BKN038 13/12 Q1021
SADM,2026-08-15 05:00,SADM 150500Z 07006KT 9999 OVC036 14/11 Q1021
SADM,2026-08-15 06:00,SADM 150600Z 07010G20KT 9999 FEW037 14/11 Q1020
SADM,2026-08-15 07:00,SADM 150700Z 07009KT 9999 OVC014 14/11 Q1019
SADM,2026-08-15 08:00,SADM 150800Z 05008KT 9999 OVC010 14/11 Q1019
SADM,2026-08-15 09:00,SADM 150900Z 05007KT 9999 OVC010 13/11 Q1018
SADM,2026-08-15 10:00,SADM 151000Z 07007KT 9999 OVC014 14/11 Q1018
SADM,2026-08-15 11:00,SADM 151100Z 05006KT 9999 OVC012 14/11 Q1019
SADM,2026-08-15 12:00,SADM 151200Z 09005KT 9999 BKN008 OVC012 14/12 Q1018
SADM,2026-08-15 13:00,SADM 151300Z 05005KT 9999 BKN008 OVC012 14/12 Q1018
SADM,2026-08-15 14:00,SADM 151400Z 05007KT 9999 BKN008 OVC012 14/12 Q1017
SADM,2026-08-15 15:00,SADM 151500Z 05008KT 9999 BKN008 OVC012 15/12 Q1017
SADM,2026-08-15 16:00,SADM 151600Z 05009KT 9999 BKN010 OVC012 15/12 Q1016
SADM,2026-08-15 17:00,SADM 151700Z 05005KT 9999 BKN010 OVC012 15/13 Q1014
SADM,2026-08-15 17:42,SADM 151742Z 09005KT 9999 BKN008 OVC012 15/13 Q1014
SADM,2026-08-15 18:00,SADM 151800Z 05004KT 4000 OVC008 15/13 Q1014
SADM,2026-08-15 19:00,SADM 151900Z 09003KT 4000 BR BKN008 OVC012 14/13 Q1013
SADM,2026-08-15 20:00,SADM 152000Z 05004KT 4000 BR BKN008 OVC012 14/13 Q1012
SADM,2026-08-15 21:00,SADM 152100Z 05004KT 3000 -DZBR OVC008 14/13 Q1012
SADM,2026-08-15 22:00,SADM 152200Z 09002KT 4000 BR OVC007 14/13 Q1012
SADM,2026-08-15 23:00,SADM 152300Z 09005KT 4000 -DZBR OVC006 15/14 Q1012
SADM,2026-08-16 00:00,SADM 160000Z 09001KT 4000 -DZBR OVC012 15/14 Q1013
SADM,2026-08-16 01:00,SADM 160100Z 05001KT 3000 -DZBR OVC008 15/15 Q1013
SADM,2026-08-16 02:00,SADM 160200Z 02004KT 5000 BR OVC010 15/15 Q1013
SADM,2026-08-16 03:00,SADM 160300Z 02003KT 9000 BKN014 OVC100 15/14 Q1012
SADM,2026-08-16 04:00,SADM 160400Z 02005KT 9000 SCT014 OVC100 15/14 Q1012
SADM,2026-08-16 05:00,SADM 160500Z 36007KT 9000 SCT005 OVC038 15/14 Q1012
SADM,2026-08-16 06:00,SADM 160600Z 32006KT 9000 SCT005 OVC030 15/14 Q1013
SADM,2026-08-16 07:00,SADM 160700Z 32004KT 9000 FEW006 OVC040 14/14 Q1012
SADM,2026-08-16 08:00,SADM 160800Z 32002KT 9000 SCT040 BKN200 14/13 Q1012
SADM,2026-08-16 09:00,SADM 160900Z 34003KT 9000 FEW009 BKN200 14/13 Q1011
SADM,2026-08-16 10:00,SADM 161000Z 34002KT 5000 BR OVC007 13/13 Q1010
SADM,2026-08-16 11:00,SADM 161100Z 32002KT 3000 BR OVC006 13/13 Q1011
SADM,2026-08-16 12:00,SADM 161200Z 29004KT 4000 BR OVC005 14/13 Q1012
SADM,2026-08-16 13:00,SADM 161300Z 29004KT 5000 BR BKN005 OVC035 14/13 Q1011
SADM,2026-08-16 14:00,SADM 161400Z 32002KT 9999 SCT040 15/13 Q1011
SADM,2026-08-16 15:00,SADM 161500Z 23004KT 9999 FEW012 SCT040 BKN100 16/13 Q1011
SADM,2026-08-16 16:00,SADM 161600Z 27003KT 9999 BKN040 OVC100 17/14 Q1011
SADM,2026-08-16 17:00,SADM 161700Z 27007KT 9999 BKN040 OVC100 16/15 Q1011
SADM,2026-08-16 18:00,SADM 161800Z 20005KT 9999 BKN035 OVC100 16/13 Q1010
SADM,2026-08-16 19:00,SADM 161900Z 23007KT 9999 SCT018 BKN035 OVC100 16/13 Q1010
SADM,2026-08-16 20:00,SADM 162000Z 20010KT 9999 SCT015 BKN100 17/13 Q1010
SADM,2026-08-16 21:00,SADM 162100Z 20006KT 9999 SCT018 BKN100 16/13 Q1010
SADM,2026-08-16 22:00,SADM 162200Z 20006KT 9999 SCT035 14/11 Q1011
SADM,2026-08-16 23:00,SADM 162300Z 18003KT 3500 FU OVC028 15/13 Q1012
SADM,2026-08-17 00:00,SADM 170000Z 14004KT 9999 OVC031 16/13 Q1013
SADM,2026-08-17 01:00,SADM 170100Z 14004KT CAVOK 16/13 Q1014
SADM,2026-08-17 02:00,SADM 170200Z 14004KT 9999 BKN028 15/13 Q1014
SADM,2026-08-17 03:00,SADM 170300Z 12002KT 9999 OVC029 15/13 Q1015
SADM,2026-08-17 04:00,SADM 170400Z 20007KT 9999 OVC026 14/13 Q1015
SADM,2026-08-17 05:00,SADM 170500Z 14007KT 9999 BKN031 14/12 Q1015
SADM,2026-08-17 06:00,SADM 170600Z 16006KT 9999 FEW031 BKN100 14/12 Q1015
SADM,2026-08-17 07:00,SADM 170700Z 18010KT 9999 FEW012 BKN100 BKN200 14/12 Q1014
SADM,2026-08-17 08:00,SADM 170800Z 11011KT 9999 FEW012 SCT100 BKN200 13/12 Q1013
SADM,2026-08-17 09:00,SADM 170900Z 14008KT CAVOK 13/11 Q1014
SADM,2026-08-17 10:00,SADM 171000Z 14013KT 9999 OVC011 12/11 Q1016
SADM,2026-08-17 11:00,SADM 171100Z 14010KT 9999 OVC013 11/10 Q1016
SADM,2026-08-17 12:00,SADM 171200Z 14010KT 9999 OVC013 12/09 Q1017
SADM,2026-08-17 13:00,SADM 171300Z 16010KT 9999 OVC010 12/09 Q1018
SADM,2026-08-17 14:00,SADM 171400Z 16010KT 9999 OVC010 13/10 Q1018
SADM,2026-08-17 15:00,COR SADM 171500Z 14013KT 9999 OVC010 12/10 Q1018
SADM,2026-08-17 16:00,SADM 171600Z 14011KT 9999 OVC014 12/09 Q1018
SADM,2026-08-17 17:00,SADM 171700Z 14010KT 9999 OVC019 11/09 Q1017
SADM,2026-08-17 18:00,SADM 171800Z 16013KT 9999 OVC017 11/09 Q1016
SADM,2026-08-17 19:00,SADM 171900Z 16011KT 9999 OVC019 12/09 Q1018
SADM,2026-08-17 20:00,SADM 172000Z 14011KT 9999 OVC019 12/08 Q1019
SADM,2026-08-17 21:00,SADM 172100Z 16011KT 9999 OVC024 12/09 Q1018
SADM,2026-08-17 22:00,SADM 172200Z 16013KT 9999 OVC021 12/08 Q1018
SADM,2026-08-17 23:00,SADM 172300Z 16014KT 9999 OVC019 12/08 Q1019
SADM,2026-08-18 00:00,SADM 180000Z 14014KT 9999 OVC021 12/07 Q1019
SADM,2026-08-18 01:00,SADM 180100Z 14014KT 9999 OVC018 11/06 Q1021
SADM,2026-08-18 02:00,SADM 180200Z 16016KT 9999 BKN014 OVC019 10/07 Q1020
SADM,2026-08-18 03:00,SADM 180300Z 16013KT 9999 OVC012 09/06 Q1020
SADM,2026-08-18 04:00,SADM 180400Z 16014KT 9999 OVC012 09/06 Q1020
SADM,2026-08-18 05:00,SADM 180500Z 16013KT 9999 OVC012 09/05 Q1020
SADM,2026-08-18 06:00,SADM 180600Z 14011KT 9999 OVC009 08/05 Q1020
SADM,2026-08-18 07:00,SADM 180700Z 14010KT 9999 OVC009 08/06 Q1021
SADM,2026-08-18 08:00,SADM 180800Z 16013KT 9999 OVC006 08/06 Q1020
SADM,2026-08-18 09:00,SADM 180900Z 16013KT 9999 OVC012 08/05 Q1020
SADM,2026-08-18 10:00,SADM 181000Z 16011KT 9999 OVC009 08/05 Q1020
SADM,2026-08-18 11:00,SADM 181100Z 16008KT 9999 OVC009 08/05 Q1021
SADM,2026-08-18 12:00,SADM 181200Z 14011KT 9999 BKN009 OVC010 08/05 Q1022
SADM,2026-08-18 12:22,SADM 181222Z 15009KT 9999 FEW009 BKN010 OVC011 08/05 Q1022
SADM,2026-08-18 13:00,SADM 181300Z 14010KT 9999 BKN011 OVC013 08/05 Q1022
SADM,2026-08-18 14:00,SADM 181400Z 14010KT 9999 SCT014 OVC100 09/04 Q1023
SADM,2026-08-18 15:00,SADM 181500Z 14009KT 9999 SCT015 OVC100 10/05 Q1022
SADM,2026-08-18 16:00,SADM 181600Z 18008KT 9999 BKN018 OVC100 10/06 Q1023
SADM,2026-08-18 17:00,SADM 181700Z 16009KT 9999 BKN018 OVC100 11/06 Q1023
SADM,2026-08-18 18:00,SADM 181800Z 14008KT 9999 BKN020 OVC100 11/06 Q1022
SADM,2026-08-18 19:00,SADM 181900Z 14007KT 9999 BKN021 SCT100 OVC200 12/06 Q1022
SADM,2026-08-18 20:00,SADM 182000Z 14005KT 9999 SCT022 BKN200 12/06 Q1022
SADM,2026-08-18 21:00,SADM 182100Z 15008KT 9999 FEW025 FEW100 BKN200 11/05 Q1022
SADM,2026-08-18 22:00,SADM 182200Z 14008KT CAVOK 11/05 Q1022
SADM,2026-08-18 23:00,SADM 182300Z 14005KT CAVOK 10/06 Q1023
SADM,2026-08-19 00:00,SADM 190000Z 14006KT CAVOK 10/06 Q1024
SADM,2026-08-19 01:00,SADM 190100Z 12003KT CAVOK 10/06 Q1024
SADM,2026-08-19 02:00,SADM 190200Z 14004KT CAVOK 10/05 Q1024
SADM,2026-08-19 03:00,SADM 190300Z 12004KT CAVOK 09/06 Q1023
SADM,2026-08-19 04:00,SADM 190400Z 14002KT CAVOK 09/06 Q1023
SADM,2026-08-19 05:00,SADM 190500Z 16002KT CAVOK 08/05 Q1023
SADM,2026-08-19 06:00,SADM 190600Z 18004KT CAVOK 06/04 Q1023
SADM,2026-08-19 07:00,SADM 190700Z 20003KT 5000 BR NSC 05/05 Q1024
SADM,2026-08-19 07:20,SADM 190720Z 18003KT 3000 MIFG BR NSC 05/05 Q1023
SADM,2026-08-19 08:00,SADM 190800Z 18002KT 1500 MIFG BR NSC 04/03 Q1023
SADM,2026-08-19 09:00,SADM 190900Z 18003KT 1000 MIFG BR NSC 03/02 Q1023
SADM,2026-08-19 10:00,SADM 191000Z 18001KT 0800 FG NSC 03/02 Q1024
SADM,2026-08-19 10:52,SADM 191052Z 00000KT 1500 BR NSC 03/02 Q1024
SADM,2026-08-19 11:00,SADM 191100Z 14002KT 2500 BR NSC 04/03 Q1024
SADM,2026-08-19 12:00,SADM 191200Z 14005KT 4000 FU NSC 07/05 Q1024
SADM,2026-08-19 12:22,SADM 191222Z 14005KT 8000 NSC 07/05 Q1025
SADM,2026-08-19 13:00,SADM 191300Z 12005KT CAVOK 09/06 Q1025
SADM,2026-08-19 14:00,SADM 191400Z 09006KT CAVOK 11/06 Q1024
SADM,2026-08-19 15:00,SADM 191500Z 09004KT CAVOK 13/06 Q1024
SADM,2026-08-19 16:00,SADM 191600Z 15004KT CAVOK 15/05 Q1023
SADM,2026-08-19 17:00,SADM 191700Z 14003KT CAVOK 15/05 Q1022
SADM,2026-08-19 18:00,SADM 191800Z 07003KT CAVOK 16/04 Q1021
SADM,2026-08-19 19:00,SADM 191900Z 09003KT CAVOK 16/03 Q1020
SADM,2026-08-19 20:00,SADM 192000Z 05003KT CAVOK 16/00 Q1020
SADM,2026-08-19 21:00,SADM 192100Z 05004KT CAVOK 16/01 Q1021
SADM,2026-08-19 22:00,SADM 192200Z 05005KT CAVOK 14/05 Q1021
SADM,2026-08-19 23:00,SADM 192300Z 09003KT CAVOK 13/06 Q1020
SADM,2026-08-20 00:00,SADM 200000Z 09002KT CAVOK 12/06 Q1020
SADM,2026-08-20 01:00,SADM 200100Z 09002KT CAVOK 11/06 Q1020
SADM,2026-08-20 02:00,SADM 200200Z 09002KT CAVOK 10/05 Q1020
SADM,2026-08-20 03:00,SADM 200300Z 09002KT CAVOK 09/05 Q1019
SADM,2026-08-20 04:00,SADM 200400Z 09003KT CAVOK 08/04 Q1019
SADM,2026-08-20 06:00,COR SADM 200600Z 18001KT CAVOK 06/04 Q1017
SADM,2026-08-20 07:00,SADM 200700Z 00000KT CAVOK 06/03 Q1016
SADM,2026-08-20 08:00,SADM 200800Z 18001KT CAVOK 05/03 Q1016
SADM,2026-08-20 09:00,SADM 200900Z 18004KT CAVOK 05/03 Q1015
SADM,2026-08-20 10:00,SADM 201000Z 20006KT 5000 BR FU NSC 06/05 Q1016
SADM,2026-08-20 10:15,SADM 201015Z 19007KT 1500 BR FU NSC 06/05 Q1016
SADM,2026-08-20 11:00,SADM 201100Z 20003KT 0200 FG FU OVC001 06/06 Q1016
SADM,2026-08-20 12:00,SADM 201200Z 20001KT 0200 FG BKN002 BKN200 07/07 Q1016
SADM,2026-08-20 12:20,SADM 201220Z 30001KT 0800 FG BKN002 BKN200 07/07 Q1016
SADM,2026-08-20 13:00,SADM 201300Z 20002KT 3000 BR SCT006 BKN200 09/08 Q1016
SADM,2026-08-20 14:00,SADM 201400Z 20004KT 4000 BR NSC 11/06 Q1015
SADM,2026-08-20 15:00,SADM 201500Z 23004KT 8000 NSC 13/03 Q1014
SADM,2026-08-20 16:00,SADM 201600Z 23008KT 6000 NSC 15/04 Q1013
SADM,2026-08-20 17:00,SADM 201700Z 27005KT 9000 NSC 16/04 Q1012
SADM,2026-08-20 18:00,SADM 201800Z 27007KT CAVOK 17/04 Q1010
SADM,2026-08-20 19:00,SADM 201900Z 23011KT CAVOK 18/03 Q1010
SADM,2026-08-20 20:00,SADM 202000Z 24009KT CAVOK 19/06 Q1011
SADM,2026-08-20 21:00,SADM 202100Z 23009KT CAVOK 18/05 Q1011
SADM,2026-08-20 22:00,SADM 202200Z 19007KT CAVOK 13/06 Q1012
SADM,2026-08-20 23:00,SADM 202300Z 20007KT CAVOK 13/07 Q1013
SADM,2026-08-21 00:00,SADM 210000Z 18015G27KT CAVOK 13/07 Q1015
SADM,2026-08-21 01:00,SADM 210100Z 16016KT CAVOK 12/07 Q1017
SADM,2026-08-21 02:00,SADM 210200Z 16013KT CAVOK 11/07 Q1017
SADM,2026-08-21 03:00,SADM 210300Z 16014KT CAVOK 10/06 Q1018
SADM,2026-08-21 04:00,SADM 210400Z 18012KT CAVOK 10/06 Q1019
SADM,2026-08-21 05:00,SADM 210500Z 18011KT CAVOK 09/05 Q1020
SADM,2026-08-21 06:00,SADM 210600Z 18010KT CAVOK 09/05 Q1020
SADM,2026-08-21 07:00,SADM 210700Z 18006KT CAVOK 07/03 Q1020
SADM,2026-08-21 08:00,SADM 210800Z 20006KT CAVOK 06/02 Q1021
SADM,2026-08-21 09:00,SADM 210900Z 20008KT CAVOK 06/02 Q1021
SADM,2026-08-21 10:00,SADM 211000Z 20006KT CAVOK 06/02 Q1022
SADM,2026-08-21 11:00,SADM 211100Z 20007KT CAVOK 04/02 Q1023
